Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
APOLLOHOSP,EQ,26-Sep-22,"4,418.45","4,418.45","4,420.45","4,191.10","4,298.00","4,282.70","4,275.74","8,43,901","3,60,83,02,649.75","72,615","2,25,666",26.74
APOLLOHOSP,EQ,27-Sep-22,"4,282.70","4,335.00","4,354.10","4,205.00","4,249.95","4,242.95","4,243.64","6,51,304","2,76,39,02,111.15","80,927","2,56,524",39.39
APOLLOHOSP,EQ,28-Sep-22,"4,242.95","4,229.00","4,295.00","4,183.10","4,265.60","4,268.95","4,261.64","3,95,837","1,68,69,13,003.60","42,402","1,36,231",34.42
APOLLOHOSP,EQ,29-Sep-22,"4,268.95","4,297.45","4,404.65","4,284.95","4,388.05","4,391.70","4,367.93","6,31,907","2,76,01,23,909.20","51,123","2,73,032",43.21
APOLLOHOSP,EQ,30-Sep-22,"4,391.70","4,352.20","4,484.90","4,352.20","4,374.00","4,383.40","4,407.21","7,61,064","3,35,41,72,356.70","59,289","2,88,709",37.93
APOLLOHOSP,EQ,03-Oct-22,"4,383.40","4,385.00","4,490.00","4,350.95","4,359.00","4,365.20","4,428.18","4,54,169","2,01,11,42,387.10","43,136","88,945",19.58
APOLLOHOSP,BL,03-Oct-22,"4,374.10","4,383.40","4,383.40","4,383.40","4,383.40","4,383.40","4,383.40","1,31,065","57,45,10,321.00",1,-,-
APOLLOHOSP,EQ,04-Oct-22,"4,365.20","4,430.00","4,444.55","4,365.20","4,390.70","4,404.40","4,403.26","3,07,009","1,35,18,41,983.80","25,748","1,35,038",43.99
APOLLOHOSP,EQ,06-Oct-22,"4,404.40","4,426.45","4,450.00","4,361.30","4,391.05","4,390.50","4,391.81","2,72,050","1,19,47,91,215.25","31,764","1,10,811",40.73
APOLLOHOSP,EQ,07-Oct-22,"4,390.50","4,379.60","4,433.00","4,353.55","4,390.00","4,394.10","4,386.16","5,01,530","2,19,97,89,154.10","34,029","2,98,387",59.5
APOLLOHOSP,EQ,10-Oct-22,"4,394.10","4,375.00","4,420.00","4,295.00","4,346.00","4,340.60","4,326.62","2,07,878","89,94,09,838.15","24,409","38,732",18.63
APOLLOHOSP,EQ,11-Oct-22,"4,340.60","4,362.35","4,362.35","4,263.65","4,278.00","4,275.55","4,282.77","2,58,216","1,10,58,79,933.35","29,037","1,06,718",41.33
APOLLOHOSP,EQ,12-Oct-22,"4,275.55","4,280.00","4,350.00","4,245.00","4,283.10","4,287.05","4,286.68","6,21,343","2,66,35,00,171.70","44,161","4,14,814",66.76
APOLLOHOSP,EQ,13-Oct-22,"4,287.05","4,270.10","4,317.95","4,236.00","4,270.00","4,266.05","4,267.52","2,77,038","1,18,22,65,657.10","28,764","1,34,839",48.67
APOLLOHOSP,EQ,14-Oct-22,"4,266.05","4,301.00","4,324.00","4,264.05","4,289.80","4,297.15","4,297.06","2,54,366","1,09,30,26,777.25","28,922","94,375",37.1
APOLLOHOSP,EQ,17-Oct-22,"4,297.15","4,290.00","4,300.55","4,221.05","4,290.00","4,290.85","4,266.21","2,54,734","1,08,67,47,482.85","24,750","85,317",33.49
APOLLOHOSP,EQ,18-Oct-22,"4,290.85","4,325.00","4,377.00","4,258.00","4,375.00","4,366.00","4,322.77","3,87,469","1,67,49,38,956.85","34,365","1,50,564",38.86
APOLLOHOSP,EQ,19-Oct-22,"4,366.00","4,380.00","4,405.90","4,341.10","4,389.00","4,388.75","4,377.27","2,49,672","1,09,28,82,164.75","26,665","93,988",37.64
APOLLOHOSP,EQ,20-Oct-22,"4,388.75","4,384.00","4,393.30","4,295.20","4,320.00","4,322.50","4,334.54","3,70,651","1,60,66,03,241.50","40,632","2,02,055",54.51
APOLLOHOSP,EQ,21-Oct-22,"4,322.50","4,344.15","4,430.00","4,322.70","4,389.90","4,389.05","4,391.77","3,64,601","1,60,12,45,434.25","46,965","1,65,882",45.5
APOLLOHOSP,EQ,24-Oct-22,"4,389.05","4,410.20","4,435.00","4,320.00","4,398.05","4,410.15","4,416.96","30,919","13,65,67,837.20","2,821","9,133",29.54
APOLLOHOSP,EQ,25-Oct-22,"4,410.15","4,437.80","4,449.90","4,372.00","4,401.00","4,404.05","4,397.58","4,74,364","2,08,60,52,824.40","43,512","2,80,183",59.06
APOLLOHOSP,EQ,27-Oct-22,"4,404.05","4,445.00","4,499.00","4,402.85","4,440.00","4,431.85","4,442.68","4,21,237","1,87,14,20,360.35","42,059","1,82,767",43.39
APOLLOHOSP,EQ,28-Oct-22,"4,431.85","4,454.25","4,584.00","4,415.00","4,563.00","4,567.00","4,530.66","6,91,801","3,13,43,14,761.00","73,086","2,50,206",36.17
APOLLOHOSP,EQ,31-Oct-22,"4,567.00","4,582.10","4,625.00","4,491.50","4,510.00","4,517.50","4,538.38","4,33,481","1,96,73,02,449.15","41,314","1,87,804",43.32
APOLLOHOSP,EQ,01-Nov-22,"4,517.50","4,577.00","4,647.00","4,470.00","4,503.00","4,511.35","4,569.33","8,66,656","3,96,00,33,870.90","51,322","3,89,649",44.96
APOLLOHOSP,EQ,02-Nov-22,"4,511.35","4,512.00","4,532.80","4,370.00","4,380.00","4,383.10","4,410.09","6,43,118","2,83,62,05,466.70","57,994","2,96,752",46.14
APOLLOHOSP,BL,03-Nov-22,"4,383.40","4,383.10","4,383.10","4,383.10","4,383.10","4,383.10","4,383.10","1,58,442","69,44,67,130.20",1,-,-
APOLLOHOSP,EQ,03-Nov-22,"4,383.10","4,370.00","4,425.00","4,349.35","4,401.00","4,395.00","4,392.93","4,57,168","2,00,83,07,811.80","36,306","2,39,835",52.46
APOLLOHOSP,EQ,04-Nov-22,"4,395.00","4,410.00","4,410.00","4,340.05","4,369.00","4,362.60","4,356.77","6,69,679","2,91,76,40,414.10","39,116","4,59,250",68.58
APOLLOHOSP,EQ,07-Nov-22,"4,362.60","4,384.45","4,420.00","4,336.45","4,370.15","4,363.80","4,365.11","3,56,178","1,55,47,55,403.60","33,476","1,85,216",52
APOLLOHOSP,EQ,09-Nov-22,"4,363.80","4,347.00","4,435.00","4,344.00","4,358.00","4,361.20","4,390.61","3,78,028","1,65,97,73,955.85","23,946","1,70,057",44.99
APOLLOHOSP,EQ,10-Nov-22,"4,361.20","4,374.50","4,377.45","4,250.00","4,283.45","4,285.45","4,293.87","5,27,721","2,26,59,64,494.50","35,373","2,99,765",56.8
APOLLOHOSP,EQ,11-Nov-22,"4,285.45","4,386.00","4,540.00","4,330.05","4,413.60","4,421.40","4,437.70","16,85,313","7,47,89,15,157.40","1,17,510","5,60,045",33.23
APOLLOHOSP,EQ,14-Nov-22,"4,421.40","4,430.00","4,568.00","4,425.20","4,546.35","4,556.70","4,535.12","8,86,587","4,02,07,75,234.20","70,925","3,29,469",37.16
APOLLOHOSP,BL,14-Nov-22,"4,383.10","4,421.40","4,421.40","4,421.40","4,421.40","4,421.40","4,421.40","1,58,442","70,05,35,458.80",1,-,-
APOLLOHOSP,EQ,15-Nov-22,"4,556.70","4,560.00","4,629.00","4,527.00","4,628.00","4,611.95","4,579.90","4,92,794","2,25,69,48,916.20","35,681","2,24,428",45.54
APOLLOHOSP,EQ,16-Nov-22,"4,611.95","4,605.00","4,610.00","4,461.00","4,494.00","4,479.25","4,524.04","4,99,585","2,26,01,43,813.30","45,733","2,29,256",45.89
APOLLOHOSP,EQ,17-Nov-22,"4,479.25","4,490.00","4,515.95","4,370.70","4,400.05","4,400.30","4,417.12","4,30,622","1,90,21,08,043.70","33,966","1,71,850",39.91
APOLLOHOSP,EQ,18-Nov-22,"4,400.30","4,430.00","4,449.00","4,320.00","4,387.95","4,399.15","4,374.59","3,85,705","1,68,73,02,951.35","37,936","1,38,328",35.86
APOLLOHOSP,EQ,21-Nov-22,"4,399.15","4,403.95","4,440.00","4,341.00","4,404.05","4,418.85","4,397.57","3,36,664","1,48,05,04,985.00","30,724","1,26,052",37.44
APOLLOHOSP,EQ,22-Nov-22,"4,418.85","4,420.95","4,480.00","4,380.00","4,479.00","4,469.80","4,436.44","3,10,657","1,37,82,11,459.95","30,305","1,28,674",41.42
APOLLOHOSP,EQ,23-Nov-22,"4,469.80","4,482.30","4,616.15","4,448.00","4,610.00","4,605.20","4,564.53","7,99,422","3,64,89,82,208.35","66,636","3,22,818",40.38
APOLLOHOSP,EQ,24-Nov-22,"4,605.20","4,630.00","4,833.00","4,614.00","4,815.00","4,815.05","4,759.71","18,22,610","8,67,50,91,458.15","1,13,368","3,87,394",21.25
