Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
BHARTIARTL,EQ,26-Sep-22,771.35,769.95,771.15,753.2,755,755.05,765.49,"1,31,44,297","10,06,18,38,408.40","1,47,296","82,31,238",62.62
BHARTIARTL,EQ,27-Sep-22,755.05,758.85,765,757.2,760,760.6,760.66,"59,65,026","4,53,73,71,673.25","1,06,400","40,61,828",68.09
BHARTIARTL,EQ,28-Sep-22,760.6,755.5,771,755,759.5,761.45,764.69,"55,46,932","4,24,16,69,565.95","1,42,267","34,48,664",62.17
BHARTIARTL,EQ,29-Sep-22,761.45,763.95,769,759.3,766.55,764.65,764.63,"54,13,233","4,13,91,04,191.65","1,32,752","36,90,942",68.18
BHARTIARTL,EQ,30-Sep-22,764.65,765.95,809,761.45,799.6,799.9,792.87,"74,69,164","5,92,21,07,226.85","1,78,969","37,50,599",50.21
BHARTIARTL,EQ,03-Oct-22,799.9,803.4,815.55,798.05,802.9,803.35,804.78,"1,26,19,046","10,15,55,50,869.10","1,94,447","62,84,311",49.8
BHARTIARTL,BL,03-Oct-22,772.5,799.9,799.9,799.9,799.9,799.9,799.9,"28,13,283","2,25,03,45,071.70",1,-,-
BHARTIARTL,EQ,04-Oct-22,803.35,813,816.75,807.5,809,808.7,810.85,"57,72,140","4,68,03,27,985.05","1,33,307","33,27,504",57.65
BHARTIARTL,EQ,06-Oct-22,808.7,810.55,815.85,786.65,788,788.6,798.03,"65,03,205","5,18,97,65,700.35","2,12,922","38,96,754",59.92
BHARTIARTL,EQ,07-Oct-22,788.6,792,796.8,784.7,793.45,793.1,792,"60,25,982","4,77,25,83,137.80","1,47,645","34,50,446",57.26
BHARTIARTL,EQ,10-Oct-22,793.1,784.95,794.8,779.7,791.3,792.35,787.7,"35,19,416","2,77,22,40,151.30","1,34,567","22,47,568",63.86
BHARTIARTL,EQ,11-Oct-22,792.35,797.5,797.5,776,778.1,780.3,786.72,"36,99,862","2,91,07,47,187.85","88,508","20,47,994",55.35
BHARTIARTL,EQ,12-Oct-22,780.3,780.3,781.35,769.2,776.9,775.55,775.38,"59,84,299","4,64,00,86,205.50","1,85,085","40,05,208",66.93
BHARTIARTL,EQ,13-Oct-22,775.55,775,779,767.65,768,768.9,770.69,"28,42,056","2,19,03,32,518.60","1,01,132","15,19,596",53.47
BHARTIARTL,EQ,14-Oct-22,768.9,779.95,779.95,763.05,766.5,765.95,772.16,"36,08,210","2,78,61,00,553.80","85,709","21,76,149",60.31
BHARTIARTL,EQ,17-Oct-22,765.95,761,771,759.85,765.65,766,764.89,"45,66,333","3,49,27,34,003.25","1,38,509","32,39,457",70.94
BHARTIARTL,EQ,18-Oct-22,766,769.85,785.6,768.65,783,783.15,782.28,"43,91,263","3,43,52,11,662.40","1,12,815","25,76,003",58.66
BHARTIARTL,EQ,19-Oct-22,783.15,787.95,788.65,779.5,784.5,783.4,783.14,"52,19,180","4,08,73,64,135.95","98,760","35,52,234",68.06
BHARTIARTL,EQ,20-Oct-22,783.4,782,794,778.3,791,792.9,788.7,"47,56,732","3,75,16,42,724.45","96,091","30,31,146",63.72
BHARTIARTL,EQ,21-Oct-22,792.9,790,802.85,789.75,795.6,797.45,798.07,"48,07,736","3,83,69,04,518.45","1,55,438","34,92,251",72.64
BHARTIARTL,EQ,24-Oct-22,797.45,800,807.5,800,800.1,802.1,804.21,"5,22,406","42,01,21,913.85","21,705","2,26,296",43.32
BHARTIARTL,EQ,25-Oct-22,802.1,806.15,806.35,798.7,800.2,802.3,801.95,"31,84,277","2,55,36,37,110.35","83,923","20,23,337",63.54
BHARTIARTL,BL,25-Oct-22,799.9,802.1,802.1,802.1,802.1,802.1,802.1,"18,29,674","1,46,75,81,515.40",1,-,-
BHARTIARTL,EQ,27-Oct-22,802.3,806.5,822.2,804.2,819,817.1,814.52,"81,59,181","6,64,58,39,709.85","1,36,216","51,61,702",63.26
BHARTIARTL,EQ,28-Oct-22,817.1,819,824.4,811.3,819.5,816.85,816.7,"39,05,093","3,18,92,79,527.45","1,06,794","22,89,016",58.62
BHARTIARTL,EQ,31-Oct-22,816.85,823,833.8,820,832,832,829.27,"54,87,233","4,55,04,08,261.70","1,66,517","34,11,499",62.17
BHARTIARTL,EQ,01-Nov-22,832,828,841.45,821.05,835.35,835.55,831.6,"1,04,88,759","8,72,24,33,075.75","1,64,014","55,48,303",52.9
BHARTIARTL,EQ,02-Nov-22,835.55,830,830,807.25,810.1,809.85,814.16,"1,17,29,925","9,55,00,48,000.90","1,92,270","72,83,035",62.09
BHARTIARTL,EQ,03-Nov-22,809.85,809.75,824.4,804.2,817.5,818.65,817.78,"58,97,840","4,82,31,29,132.05","1,60,802","33,80,905",57.32
BHARTIARTL,BL,03-Nov-22,802.1,809.85,809.85,809.85,809.85,809.85,809.85,"34,00,871","2,75,41,95,379.35",1,-,-
BHARTIARTL,EQ,04-Nov-22,818.65,815.7,821.8,809.2,816.1,816.4,814.59,"37,68,226","3,06,95,42,041.25","90,470","22,43,180",59.53
BHARTIARTL,EQ,07-Nov-22,816.4,817,824.05,809,822,822.7,814.93,"71,71,570","5,84,43,40,617.45","1,08,206","51,30,704",71.54
BHARTIARTL,EQ,09-Nov-22,822.7,824.2,825.5,814.45,819.4,819.05,818.31,"39,69,171","3,24,80,07,545.55","1,31,811","28,91,078",72.84
BHARTIARTL,EQ,10-Nov-22,819.05,819.8,830.7,817.55,826,825.75,824.81,"44,25,290","3,65,00,21,528.65","88,705","16,95,684",38.32
BHARTIARTL,EQ,11-Nov-22,825.75,830.75,836.9,823.8,829.05,826.9,830.14,"43,25,441","3,59,07,20,582.25","96,282","24,00,905",55.51
BHARTIARTL,EQ,14-Nov-22,826.9,818,830.8,817,822.55,821.9,820.48,"1,04,06,576","8,53,84,31,978.15","1,72,323","86,86,639",83.47
BHARTIARTL,BL,14-Nov-22,809.85,826.9,826.9,826.9,826.9,826.9,826.9,"34,00,870","2,81,21,79,403.00",1,-,-
BHARTIARTL,EQ,15-Nov-22,821.9,822.65,838.75,822.65,837.1,835.25,829.2,"62,29,710","5,16,56,77,304.80","81,693","45,97,568",73.8
BHARTIARTL,EQ,16-Nov-22,835.25,837.5,844.05,828.05,842,841.2,834.84,"34,45,345","2,87,62,96,573.80","1,05,406","21,60,403",62.7
BHARTIARTL,EQ,17-Nov-22,841.2,841.8,849.4,838.4,845,846.15,844.68,"45,45,534","3,83,95,37,095.55","1,07,464","25,65,835",56.45
BHARTIARTL,EQ,18-Nov-22,846.15,849.95,851.85,831.1,837,837.3,837.89,"74,05,949","6,20,53,39,882.55","1,53,468","50,49,160",68.18
BHARTIARTL,EQ,21-Nov-22,837.3,837,852.8,835,851.7,851.2,845.36,"55,27,122","4,67,23,92,641.70","1,82,844","32,19,035",58.24
BHARTIARTL,EQ,22-Nov-22,851.2,853.4,860.55,845.1,847,847.6,851.25,"76,01,660","6,47,09,02,779.05","1,71,346","49,06,767",64.55
BHARTIARTL,EQ,23-Nov-22,847.6,851.85,851.85,841.6,842.85,843.25,845.69,"45,96,816","3,88,74,62,402.95","1,07,955","31,89,994",69.4
BHARTIARTL,EQ,24-Nov-22,843.25,846,851,837.75,848.95,848.35,842.6,"34,55,310","2,91,14,44,328.25","73,897","16,80,441",48.63
BHARTIARTL,EQ,25-Nov-22,848.35,852,860,841.6,847.5,846.85,846.75,"29,91,065","2,53,26,89,147.90","61,942","15,01,427",50.2
BHARTIARTL,EQ,28-Nov-22,846.85,840.25,852.55,836.05,838.5,837.4,841.09,"36,68,846","3,08,58,19,267.65","97,644","24,47,934",66.72
BHARTIARTL,EQ,29-Nov-22,837.4,839,844.8,835,835.5,835.85,839.01,"26,80,296","2,24,87,87,693.85","82,799","16,56,315",61.8
BHARTIARTL,EQ,30-Nov-22,835.85,834.8,852,832.6,850.8,848.75,845.05,"68,74,390","5,80,92,34,672.55","1,30,250","48,35,679",70.34
BHARTIARTL,EQ,01-Dec-22,848.75,853,853.2,841.6,848,848.6,847.33,"45,06,664","3,81,86,29,525.95","1,21,422","28,40,347",63.03
BHARTIARTL,EQ,02-Dec-22,848.6,851.4,851.95,839.1,848.9,848.65,844.74,"35,05,272","2,96,10,58,057.10","1,27,894","22,56,580",64.38
BHARTIARTL,EQ,05-Dec-22,848.65,851,851.6,840.85,843.7,844.1,844.48,"33,11,316","2,79,63,45,955.20","92,049","21,90,055",66.14
BHARTIARTL,EQ,06-Dec-22,844.1,844.9,845,829.7,834,833.35,834.71,"55,67,349","4,64,71,14,188.65","1,07,831","38,78,972",69.67
BHARTIARTL,EQ,07-Dec-22,833.35,837.55,841.6,832,833.75,834,835.64,"37,71,882","3,15,19,52,619.35","1,04,194","23,47,259",62.23
BHARTIARTL,EQ,08-Dec-22,834,833,840.2,826.3,832.3,832.6,834.08,"48,22,179","4,02,20,61,768.70","1,16,319","30,88,436",64.05
BHARTIARTL,EQ,09-Dec-22,832.6,830.3,836.6,823.95,833.95,834.9,831.68,"46,15,843","3,83,89,11,518.90","99,403","30,16,593",65.35
BHARTIARTL,EQ,12-Dec-22,834.9,832.6,836.95,825.4,828.5,828.4,829.9,"31,49,823","2,61,40,26,026.75","89,894","20,89,847",66.35
BHARTIARTL,EQ,13-Dec-22,828.4,822,840,822,838.15,838.05,831.75,"38,32,999","3,18,81,06,001.05","89,601","24,64,762",64.3
BHARTIARTL,EQ,14-Dec-22,838.05,840.65,842,828.15,828.9,829.2,831,"74,91,333","6,22,52,79,058.20","1,11,283","58,23,381",77.73
BHARTIARTL,EQ,15-Dec-22,829.2,829,831,824.35,825.85,826.35,826.61,"29,96,482","2,47,69,20,967.15","1,12,313","20,49,974",68.41
BHARTIARTL,EQ,16-Dec-22,826.35,825,832.7,819.9,822.9,822.75,824.98,"43,09,644","3,55,53,65,558.60","93,171","29,13,148",67.6
BHARTIARTL,EQ,19-Dec-22,822.75,822.7,845.05,822,839,840.4,836.87,"63,97,169","5,35,36,26,483.50","1,38,965","36,85,646",57.61
BHARTIARTL,EQ,20-Dec-22,840.4,839.75,839.75,822,827.9,828.95,827.42,"28,28,863","2,34,06,59,186.60","83,436","14,86,307",52.54
BHARTIARTL,EQ,21-Dec-22,828.95,833,833.05,812.35,815,814,820.44,"50,79,337","4,16,72,68,237.70","1,19,997","29,00,182",57.1
BHARTIARTL,EQ,22-Dec-22,814,819,824.7,809.5,816.3,816.6,818.55,"36,26,834","2,96,87,37,260.25","87,131","21,09,025",58.15
BHARTIARTL,EQ,23-Dec-22,816.6,814,817.95,805,809.95,808.65,810.81,"28,04,496","2,27,39,13,792.35","95,664","14,12,483",50.36
BHARTIARTL,EQ,26-Dec-22,808.65,805.05,815.2,801.15,809.25,811,808.71,"60,23,206","4,87,10,44,496.85","1,01,992","37,64,746",62.5
BHARTIARTL,EQ,27-Dec-22,811,815,819.45,805,814.95,814.8,812.35,"17,82,053","1,44,76,52,815.05","72,357","7,98,395",44.8
BHARTIARTL,EQ,28-Dec-22,814.8,813,813.9,801.45,803.3,803.8,806.55,"29,07,741","2,34,52,25,830.60","86,146","15,65,095",53.83
BHARTIARTL,EQ,29-Dec-22,803.8,807.05,824.75,760.1,823,820.75,814.12,"61,10,313","4,97,45,35,535.65","1,24,608","34,13,391",55.86
BHARTIARTL,EQ,30-Dec-22,820.75,824.7,824.8,804.95,808.4,806.1,811.31,"31,13,243","2,52,58,11,276.40","81,120","18,12,094",58.21
BHARTIARTL,EQ,02-Jan-23,806.1,806.25,816.2,805.6,813.95,813.5,812.94,"16,26,846","1,32,25,20,250.25","63,639","7,73,421",47.54
BHARTIARTL,EQ,03-Jan-23,813.5,810.35,818.8,808.5,817,817.6,814.13,"17,17,603","1,39,83,52,259.70","68,680","10,05,742",58.55
BHARTIARTL,EQ,04-Jan-23,817.6,818.95,820.45,806.2,807,811.8,814.85,"29,70,216","2,42,02,73,325.10","91,394","18,44,209",62.09
BHARTIARTL,EQ,05-Jan-23,811.8,825,825,803.75,806.95,807.1,810.92,"52,97,349","4,29,57,02,465.25","1,49,144","33,41,854",63.09
BHARTIARTL,EQ,06-Jan-23,807.1,807.55,812.25,792,795,796,799.51,"31,99,618","2,55,81,33,801.45","1,00,083","21,59,733",67.5
BHARTIARTL,EQ,09-Jan-23,796,802.7,821.5,801.05,819.1,819.4,817.14,"43,40,729","3,54,69,79,332.70","1,39,832","27,14,933",62.55
BHARTIARTL,EQ,10-Jan-23,819.4,826.1,826.1,790.3,795,792.85,800,"83,92,344","6,71,38,95,339.00","1,87,627","51,72,402",61.63
BHARTIARTL,EQ,11-Jan-23,792.85,775,779.65,751.65,765.4,765.55,763.51,"2,83,89,020","21,67,52,81,579.40","4,35,071","1,74,90,676",61.61
BHARTIARTL,EQ,12-Jan-23,765.55,765,769.3,753.55,756.75,756.9,760.18,"1,27,32,671","9,67,90,59,639.20","1,91,187","87,15,476",68.45
BHARTIARTL,EQ,13-Jan-23,756.9,757,765.95,752,764.6,764.3,758.51,"1,22,79,288","9,31,39,78,908.75","1,82,066","81,28,946",66.2
BHARTIARTL,EQ,16-Jan-23,764.3,766.4,768.1,754.65,758.75,759.15,759.4,"57,79,293","4,38,87,75,266.40","1,27,709","35,51,224",61.45
BHARTIARTL,EQ,17-Jan-23,759.15,759.15,768.9,758.75,766.9,765.7,763.84,"65,94,428","5,03,70,79,690.30","1,44,722","45,38,148",68.82
BHARTIARTL,EQ,18-Jan-23,765.7,768.2,780,766,778.3,776.55,772.97,"58,00,899","4,48,39,07,197.30","1,43,513","39,01,196",67.25
