Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
ASIANPAINT,EQ,26-Sep-22,"3,395.25","3,370.00","3,468.00","3,354.00","3,434.00","3,438.05","3,425.44","14,29,914","4,89,80,83,341.90","1,07,201","4,53,143",31.69
ASIANPAINT,EQ,27-Sep-22,"3,438.05","3,454.85","3,500.00","3,431.05","3,470.00","3,470.65","3,467.08","14,55,383","5,04,59,30,338.30","1,02,160","6,28,009",43.15
ASIANPAINT,EQ,28-Sep-22,"3,470.65","3,451.00","3,582.90","3,420.00","3,568.00","3,570.65","3,527.33","18,43,428","6,50,23,75,921.60","1,19,050","6,82,011",37
ASIANPAINT,EQ,29-Sep-22,"3,570.65","3,563.45","3,563.45","3,372.40","3,402.00","3,384.80","3,441.06","26,24,894","9,03,24,10,231.65","2,02,666","9,60,793",36.6
ASIANPAINT,EQ,30-Sep-22,"3,384.80","3,402.00","3,411.90","3,285.25","3,375.00","3,342.45","3,341.25","21,59,720","7,21,61,67,310.75","1,51,911","8,53,467",39.52
ASIANPAINT,BL,03-Oct-22,"3,473.90","3,342.45","3,342.45","3,342.45","3,342.45","3,342.45","3,342.45","3,50,670","1,17,20,96,941.50",1,-,-
ASIANPAINT,EQ,03-Oct-22,"3,342.45","3,348.00","3,352.50","3,285.75","3,298.00","3,302.90","3,311.39","9,34,543","3,09,46,39,985.40","79,080","3,37,201",36.08
ASIANPAINT,EQ,04-Oct-22,"3,302.90","3,330.00","3,368.35","3,312.05","3,334.75","3,337.75","3,338.52","9,94,382","3,31,97,59,538.00","79,809","4,91,236",49.4
ASIANPAINT,EQ,06-Oct-22,"3,337.75","3,337.75","3,366.75","3,311.70","3,328.00","3,328.95","3,339.09","9,22,770","3,08,12,12,451.20","90,382","4,47,912",48.54
ASIANPAINT,EQ,07-Oct-22,"3,328.95","3,318.00","3,359.60","3,287.25","3,351.95","3,343.70","3,320.87","7,74,544","2,57,21,61,748.85","67,947","2,94,432",38.01
ASIANPAINT,EQ,10-Oct-22,"3,343.70","3,280.00","3,299.00","3,260.20","3,280.00","3,277.95","3,277.23","7,34,377","2,40,67,24,476.85","65,136","3,02,946",41.25
ASIANPAINT,EQ,11-Oct-22,"3,277.95","3,290.50","3,360.00","3,274.00","3,293.55","3,298.70","3,332.51","14,11,316","4,70,32,18,409.30","1,01,087","5,23,181",37.07
ASIANPAINT,BL,11-Oct-22,"3,342.45","3,277.95","3,277.95","3,277.95","3,277.95","3,277.95","3,277.95","3,50,463","1,14,88,00,190.85",1,-,-
ASIANPAINT,EQ,12-Oct-22,"3,298.70","3,335.00","3,339.50","3,206.00","3,249.00","3,248.20","3,252.94","18,12,549","5,89,61,14,169.30","1,33,942","7,30,138",40.28
ASIANPAINT,EQ,13-Oct-22,"3,248.20","3,230.10","3,258.20","3,193.90","3,206.00","3,209.00","3,215.23","7,79,890","2,50,75,24,871.95","74,367","3,56,092",45.66
ASIANPAINT,EQ,14-Oct-22,"3,209.00","3,235.00","3,246.00","3,180.00","3,183.00","3,185.50","3,211.67","8,45,765","2,71,63,16,837.35","55,990","5,11,708",60.5
ASIANPAINT,EQ,17-Oct-22,"3,185.50","3,185.50","3,218.00","3,170.10","3,198.00","3,197.60","3,198.99","10,67,773","3,41,57,93,706.55","65,211","6,21,947",58.25
ASIANPAINT,EQ,18-Oct-22,"3,197.60","3,218.00","3,250.00","3,212.00","3,231.85","3,225.85","3,229.21","10,15,424","3,27,90,21,580.35","92,234","6,14,133",60.48
ASIANPAINT,EQ,19-Oct-22,"3,225.85","3,242.00","3,245.70","3,196.35","3,216.00","3,212.75","3,216.80","9,43,543","3,03,51,86,051.80","76,643","4,53,897",48.11
ASIANPAINT,EQ,20-Oct-22,"3,212.75","3,198.00","3,241.85","3,101.80","3,145.00","3,140.90","3,162.57","22,84,352","7,22,44,30,976.50","1,51,406","7,31,426",32.02
ASIANPAINT,EQ,21-Oct-22,"3,140.90","3,140.00","3,164.75","3,072.65","3,098.05","3,092.40","3,106.88","17,38,731","5,40,20,34,320.80","1,29,423","7,49,836",43.13
ASIANPAINT,EQ,24-Oct-22,"3,092.40","3,150.00","3,159.00","3,116.00","3,120.45","3,121.65","3,127.44","1,78,709","55,89,01,260.00","22,574","92,128",51.55
ASIANPAINT,EQ,25-Oct-22,"3,121.65","3,134.00","3,135.00","3,079.90","3,082.50","3,084.90","3,102.60","10,16,316","3,15,32,24,248.15","68,943","6,88,691",67.76
ASIANPAINT,BL,25-Oct-22,"3,277.95","3,121.65","3,121.65","3,121.65","3,121.65","3,121.65","3,121.65","2,28,066","71,19,42,228.90",1,-,-
ASIANPAINT,EQ,27-Oct-22,"3,084.90","3,123.00","3,123.00","3,033.00","3,050.95","3,043.45","3,057.91","20,05,709","6,13,32,69,516.15","1,27,839","13,04,649",65.05
