Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
DABUR,EQ,26-Sep-22,568.55,564.55,566.8,555.1,557.45,556.2,562.04,"14,42,609","81,08,02,779.40","56,404","8,97,555",62.22
DABUR,EQ,27-Sep-22,556.2,559,565.45,557.05,560.1,560.5,561.29,"17,34,629","97,36,21,656.45","57,695","11,39,979",65.72
DABUR,EQ,28-Sep-22,560.5,558.05,568.5,555.95,565,564.05,562.09,"15,51,538","87,20,96,314.70","42,407","9,76,204",62.92
DABUR,EQ,29-Sep-22,564.05,566.9,578.15,563.9,577.85,575.75,571.89,"23,09,452","1,32,07,58,423.00","53,038","13,70,452",59.34
DABUR,EQ,30-Sep-22,575.75,575.75,575.75,568.1,572.9,572.95,572.4,"15,98,546","91,50,06,378.80","57,796","9,97,673",62.41
DABUR,BL,03-Oct-22,579.15,572.95,572.95,572.95,572.95,572.95,572.95,"8,24,172","47,22,09,347.40",1,-,-
DABUR,EQ,03-Oct-22,572.95,571.6,577.85,555,556,557.15,564.2,"16,06,325","90,62,91,006.80","37,452","9,45,392",58.85
DABUR,EQ,04-Oct-22,557.15,568.2,568.2,552.2,555,553.8,556.13,"29,48,474","1,63,97,41,344.15","56,670","19,96,983",67.73
DABUR,EQ,06-Oct-22,553.8,557.5,557.5,544.5,545.5,546.4,548.34,"26,75,443","1,46,70,48,839.75","50,935","17,95,428",67.11
DABUR,EQ,07-Oct-22,546.4,537.9,544.5,534.25,540,540.15,539.88,"38,03,118","2,05,32,32,962.40","56,322","25,78,345",67.8
DABUR,EQ,10-Oct-22,540.15,534,537.8,526.55,529.25,529.1,529.45,"36,01,832","1,90,69,88,322.55","95,070","27,14,363",75.36
DABUR,EQ,11-Oct-22,529.1,531.75,531.75,517,518,518.95,520.14,"66,28,877","3,44,79,68,350.05","87,705","57,44,921",86.67
DABUR,EQ,12-Oct-22,518.95,518.95,538.85,518.95,534.85,533.6,531.74,"31,97,008","1,69,99,74,937.50","54,345","16,50,107",51.61
DABUR,EQ,13-Oct-22,533.6,535,538.55,529.25,529.85,530,533.6,"20,75,101","1,10,72,68,147.70","37,528","14,08,746",67.89
DABUR,EQ,14-Oct-22,530,535,535,527,531.1,531.35,531.49,"15,18,166","80,68,83,460.50","39,680","9,28,924",61.19
DABUR,EQ,17-Oct-22,531.35,531.35,534.5,527,531,529.95,530.81,"7,57,924","40,23,17,261.65","29,607","4,64,616",61.3
DABUR,EQ,18-Oct-22,529.95,531.55,533.5,528.7,531,531.35,531.06,"12,47,608","66,25,54,049.85","26,001","8,27,628",66.34
DABUR,EQ,19-Oct-22,531.35,532.55,536,525.05,525.95,526.1,528.34,"26,77,154","1,41,44,53,720.35","41,376","17,50,877",65.4
DABUR,EQ,20-Oct-22,526.1,525,537.5,522,534.35,535.95,531.93,"22,73,116","1,20,91,29,927.45","54,885","13,30,975",58.55
DABUR,EQ,21-Oct-22,535.95,536,540,532.45,539.4,537.95,536.3,"12,38,126","66,40,09,141.20","35,400","7,61,273",61.49
DABUR,EQ,24-Oct-22,537.95,540.35,541,534.5,535.5,536.85,538.1,"1,64,839","8,86,99,280.30","10,142","91,405",55.45
DABUR,EQ,25-Oct-22,536.85,536,538,530.75,532.5,532.15,533.28,"12,31,137","65,65,45,165.55","41,289","6,80,234",55.25
DABUR,EQ,27-Oct-22,532.15,541.5,551.3,536,551,549.05,545.16,"50,98,267","2,77,93,89,923.75","88,405","22,58,859",44.31
DABUR,EQ,28-Oct-22,549.05,552.5,554.25,546.25,550.9,551.05,551.06,"20,12,341","1,10,89,16,763.70","50,463","9,96,786",49.53
DABUR,EQ,31-Oct-22,551.05,553.35,558.5,550.2,556.4,554.7,554.34,"15,17,302","84,10,99,278.25","53,337","8,49,998",56.02
DABUR,EQ,01-Nov-22,554.7,556.9,565,554.85,564,563.8,561.57,"13,54,247","76,04,98,862.95","55,916","7,65,274",56.51
DABUR,EQ,02-Nov-22,563.8,565.95,566.4,558.5,562.1,562.25,562.16,"9,36,356","52,63,83,200.75","34,055","5,75,612",61.47
DABUR,BL,03-Nov-22,572.95,562.25,562.25,562.25,562.25,562.25,562.25,"9,96,312","56,01,76,422.00",1,-,-
DABUR,EQ,03-Nov-22,562.25,562.25,562.6,554.5,555.75,555.9,556.95,"8,07,402","44,96,80,357.00","21,771","4,80,462",59.51
DABUR,EQ,04-Nov-22,555.9,557.4,560.4,554.15,558.9,557.5,556.43,"6,20,438","34,52,29,626.65","16,495","3,82,733",61.69
DABUR,EQ,07-Nov-22,557.5,557.5,563.25,547.65,555,553.6,552.87,"12,95,002","71,59,66,901.50","36,156","7,65,990",59.15
DABUR,EQ,09-Nov-22,553.6,555,560.35,549,554.5,554.15,554.5,"8,83,098","48,96,77,691.85","22,137","4,88,915",55.36
DABUR,EQ,10-Nov-22,554.15,551,555.85,548,554.95,553.9,551.42,"9,27,378","51,13,70,477.30","26,684","5,17,275",55.78
DABUR,EQ,11-Nov-22,553.9,556.7,559.5,550.2,554.05,553.1,554.4,"13,31,351","73,81,06,638.75","33,921","8,44,195",63.41
DABUR,EQ,14-Nov-22,553.1,555.45,568,550.3,553,553.2,557.3,"21,73,335","1,21,12,08,830.05","43,556","11,64,951",53.6
DABUR,BL,14-Nov-22,562.25,553.1,553.1,553.1,553.1,553.1,553.1,"9,96,312","55,10,60,167.20",1,-,-
DABUR,EQ,15-Nov-22,553.2,555.2,556,542,549.65,550.75,547.41,"19,39,642","1,06,17,77,308.75","47,363","11,25,150",58.01
DABUR,EQ,16-Nov-22,550.75,549.05,551,544.2,548.15,550.05,547.09,"23,44,384","1,28,25,80,871.00","36,586","17,28,235",73.72
DABUR,EQ,17-Nov-22,550.05,548.25,553.8,545.65,549.8,551.9,550.58,"22,01,076","1,21,18,68,632.55","41,409","13,20,833",60.01
DABUR,EQ,18-Nov-22,551.9,551.9,551.95,543,548,548.5,547.1,"11,43,913","62,58,38,220.45","29,210","6,48,755",56.71
DABUR,EQ,21-Nov-22,548.5,547.45,551.95,544.2,549,550.8,550.11,"10,22,010","56,22,16,235.65","29,630","6,08,415",59.53
DABUR,EQ,22-Nov-22,550.8,548.45,548.9,540.55,545.9,546.45,544.81,"17,10,541","93,19,27,773.45","50,271","10,34,610",60.48
DABUR,EQ,23-Nov-22,546.45,546.1,552.5,544,551.85,551.4,548.71,"14,50,395","79,58,53,484.65","28,660","9,87,583",68.09
DABUR,EQ,24-Nov-22,551.4,553,557,550.5,555,553.6,554.01,"12,85,517","71,21,82,977.15","42,193","6,81,507",53.01
DABUR,EQ,25-Nov-22,553.6,555,557.5,547.7,557,556.55,553.01,"8,15,285","45,08,60,305.20","20,074","4,41,364",54.14
DABUR,EQ,28-Nov-22,556.55,556.55,562.9,555.6,559.8,558.6,560.48,"13,84,789","77,61,47,637.50","30,962","10,08,569",72.83
DABUR,EQ,29-Nov-22,558.6,559.85,598.3,558.1,594.95,593.1,588.56,"1,10,72,058","6,51,65,88,347.40","1,54,682","48,40,387",43.72
DABUR,EQ,30-Nov-22,593.1,595.45,598.9,585.7,590.3,588.35,590.93,"68,00,183","4,01,84,03,198.65","71,396","38,60,095",56.76
DABUR,EQ,01-Dec-22,588.35,589.5,591.6,586.1,586.95,586.8,588.69,"21,81,957","1,28,44,98,028.25","34,952","15,35,185",70.36
