Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
HDFCBANK,EQ,26-Sep-22,"1,446.15","1,425.35","1,436.45","1,418.00","1,429.80","1,426.65","1,426.27","44,61,743","6,36,36,59,216.05","1,83,001","24,89,197",55.79
HDFCBANK,EQ,27-Sep-22,"1,426.65","1,432.40","1,440.00","1,407.00","1,414.65","1,413.85","1,423.81","63,19,850","8,99,82,92,829.25","1,81,595","38,74,624",61.31
HDFCBANK,EQ,28-Sep-22,"1,413.85","1,406.00","1,410.60","1,385.90","1,387.00","1,389.55","1,397.25","59,08,066","8,25,50,59,324.45","2,15,474","33,84,446",57.29
HDFCBANK,EQ,29-Sep-22,"1,389.55","1,396.30","1,402.20","1,378.80","1,381.50","1,382.35","1,387.85","72,05,194","9,99,97,18,372.70","2,58,296","47,37,741",65.75
HDFCBANK,EQ,30-Sep-22,"1,382.35","1,378.80","1,431.45","1,365.00","1,422.05","1,421.35","1,407.93","78,90,878","11,10,97,99,543.35","1,81,624","47,09,460",59.68
HDFCBANK,EQ,03-Oct-22,"1,421.35","1,409.95","1,417.85","1,401.10","1,411.00","1,413.20","1,410.01","57,70,556","8,13,65,20,348.45","1,47,339","38,23,032",66.25
HDFCBANK,EQ,04-Oct-22,"1,413.20","1,429.50","1,458.00","1,426.15","1,456.15","1,453.00","1,448.36","57,69,263","8,35,59,97,412.35","1,30,624","39,44,499",68.37
HDFCBANK,EQ,06-Oct-22,"1,453.00","1,459.95","1,462.60","1,434.20","1,436.00","1,437.00","1,449.04","62,74,599","9,09,21,18,877.70","1,70,441","42,51,575",67.76
HDFCBANK,EQ,07-Oct-22,"1,437.00","1,430.25","1,434.95","1,420.35","1,431.00","1,430.80","1,427.47","66,48,997","9,49,12,76,053.80","1,60,989","48,65,856",73.18
HDFCBANK,EQ,10-Oct-22,"1,430.80","1,408.00","1,426.00","1,398.20","1,415.95","1,415.00","1,409.21","65,54,651","9,23,69,03,280.05","2,15,487","41,89,926",63.92
