Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
MAZDOCK,EQ,26-Sep-22,447.5,435.35,443.6,416.6,418.9,419.6,428.36,"16,31,275","69,87,70,220.70","33,852","4,06,885",24.94
MAZDOCK,EQ,27-Sep-22,419.6,425.5,445.95,412.65,445.7,439,427.54,"18,55,362","79,32,34,845.65","35,516","3,32,417",17.92
MAZDOCK,EQ,28-Sep-22,439,439.5,439.5,425.2,427,428.75,432.74,"9,27,637","40,14,30,268.25","19,200","2,52,390",27.21
MAZDOCK,EQ,29-Sep-22,428.75,438.7,465,433.05,464,461.85,454.97,"44,04,782","2,00,40,40,968.70","65,360","5,28,231",11.99
MAZDOCK,EQ,30-Sep-22,461.85,463,498.8,455.3,493.5,493.45,477.05,"54,13,659","2,58,25,61,054.35","72,421","7,34,214",13.56
MAZDOCK,EQ,03-Oct-22,493.45,486.3,525,486.3,512.5,513.3,510.58,"68,66,358","3,50,58,52,047.95","1,05,793","7,43,730",10.83
MAZDOCK,EQ,04-Oct-22,513.3,520,572.9,504,563.55,556.25,534.87,"63,55,615","3,39,94,21,307.90","95,818","6,34,466",9.98
MAZDOCK,EQ,06-Oct-22,556.25,563.5,603,553.15,593.15,595.05,585.71,"1,18,17,867","6,92,18,00,138.30","1,87,955","8,02,060",6.79
MAZDOCK,EQ,07-Oct-22,595.05,592.7,644.95,587.05,636.65,632.95,611.25,"1,16,80,165","7,13,94,50,966.10","1,83,542","7,35,484",6.3
MAZDOCK,EQ,10-Oct-22,632.95,630,680,615.7,627,625.35,650.66,"1,97,99,211","12,88,25,22,999.95","3,03,683","12,80,814",6.47
MAZDOCK,EQ,11-Oct-22,625.35,629,637,572.5,576,578.8,601.7,"74,21,095","4,46,52,76,965.50","1,31,577","10,03,125",13.52
MAZDOCK,EQ,12-Oct-22,578.8,579,620.7,569.7,614.95,616.85,599.72,"97,20,085","5,82,93,20,502.10","1,46,114","7,37,102",7.58
MAZDOCK,EQ,13-Oct-22,616.85,616.9,643.8,616.05,624.75,623.75,632.44,"74,95,550","4,74,04,63,029.05","1,14,341","7,46,019",9.95
MAZDOCK,EQ,14-Oct-22,623.75,639,642,612.5,625,625.9,627.15,"52,77,356","3,30,96,67,553.05","93,775","4,75,998",9.02
MAZDOCK,EQ,17-Oct-22,625.9,623.05,629.25,611.5,622.5,621.65,621.05,"26,46,455","1,64,35,74,444.80","52,190","3,02,218",11.42
MAZDOCK,EQ,18-Oct-22,621.65,625.5,633.35,615.65,617,619.6,622.64,"22,17,550","1,38,07,35,575.70","40,543","3,63,141",16.38
MAZDOCK,EQ,19-Oct-22,619.6,622,647,614.6,628.95,629.85,633.89,"63,51,059","4,02,58,71,205.95","91,111","5,89,148",9.28
MAZDOCK,EQ,20-Oct-22,629.85,628.8,657.6,625.6,650.1,651.65,644.06,"40,06,244","2,58,02,63,872.70","63,563","5,90,420",14.74
MAZDOCK,EQ,21-Oct-22,651.65,655,659.6,633.3,637,640.3,647.69,"28,13,815","1,82,24,74,450.75","48,220","4,46,822",15.88
MAZDOCK,EQ,24-Oct-22,640.3,645.2,647.6,635,641.5,639.5,640.82,"5,26,751","33,75,50,564.55","11,692","1,60,849",30.54
MAZDOCK,EQ,25-Oct-22,639.5,641.6,642.5,620.85,623.05,624.75,631.25,"18,27,343","1,15,35,07,920.70","34,545","3,88,493",21.26
MAZDOCK,EQ,27-Oct-22,624.75,627.9,633.75,616.5,628,628.75,626.37,"15,33,844","96,07,51,446.85","30,533","1,97,002",12.84
MAZDOCK,EQ,28-Oct-22,628.75,630,643.85,618.7,639,640.9,633.64,"20,81,571","1,31,89,59,912.85","41,815","3,78,101",18.16
MAZDOCK,EQ,31-Oct-22,640.9,643.05,649,631.3,633.75,636.35,639.85,"17,29,562","1,10,66,62,530.30","32,620","3,30,153",19.09
MAZDOCK,EQ,01-Nov-22,636.35,637.4,647,632.55,638.55,638.1,639.58,"14,31,280","91,54,12,113.60","28,696","3,04,757",21.29
MAZDOCK,EQ,02-Nov-22,638.1,639,749,636.6,731.25,724.6,695.09,"1,65,22,579","11,48,46,93,015.25","2,14,960","14,45,216",8.75
MAZDOCK,EQ,03-Nov-22,724.6,729.7,797.95,726.75,749,754,765.98,"2,60,55,341","19,95,78,55,691.25","3,63,712","14,32,855",5.5
MAZDOCK,EQ,04-Nov-22,754,753.85,793.85,735.85,781,780.8,767.15,"1,18,57,204","9,09,62,70,071.90","1,76,356","7,37,165",6.22
MAZDOCK,EQ,07-Nov-22,780.8,786.7,819.4,775.55,804,810.15,803.32,"1,00,54,219","8,07,67,80,386.55","1,58,450","7,40,745",7.37
MAZDOCK,EQ,09-Nov-22,810.15,810,826.45,796,809,808.9,815.96,"45,19,829","3,68,80,13,443.65","82,429","5,79,787",12.83
MAZDOCK,EQ,10-Nov-22,808.9,804.5,813,762,771.5,773,782.66,"48,00,672","3,75,73,06,975.95","97,930","6,40,389",13.34
MAZDOCK,EQ,11-Nov-22,773,775,798.25,762.7,791.8,791.65,784.33,"41,63,328","3,26,54,11,799.50","85,035","4,00,527",9.62
MAZDOCK,EQ,14-Nov-22,791.65,795,819.8,785.7,797.5,800.15,806.66,"32,98,534","2,66,07,82,023.65","72,252","4,86,943",14.76
MAZDOCK,EQ,15-Nov-22,800.15,803,852.95,797.4,841.1,839.1,826.53,"46,08,594","3,80,91,56,599.85","79,103","7,64,908",16.6
MAZDOCK,EQ,16-Nov-22,839.1,843.3,877.9,842,866.25,868.3,861.31,"83,90,029","7,22,64,19,962.40","1,34,455","6,64,586",7.92
MAZDOCK,EQ,17-Nov-22,868.3,868,888,860,864.05,871.95,876,"58,31,182","5,10,81,17,296.85","96,685","5,70,053",9.78
MAZDOCK,EQ,18-Nov-22,871.95,869,873.75,811,816.75,818.95,833.96,"54,94,306","4,58,20,43,382.80","1,15,372","8,68,166",15.8
MAZDOCK,EQ,21-Nov-22,818.95,813,813,768.7,771.1,773.8,780.57,"33,60,610","2,62,31,90,278.25","66,641","5,04,700",15.02
MAZDOCK,EQ,22-Nov-22,773.8,766,878.45,748.25,861.9,866.75,830.17,"1,68,70,437","14,00,53,30,176.60","2,74,133","9,56,735",5.67
MAZDOCK,EQ,23-Nov-22,866.75,870,913.7,869,872,880.5,894.19,"1,69,07,022","15,11,81,64,547.85","2,88,347","10,73,607",6.35
MAZDOCK,EQ,24-Nov-22,880.5,881.95,896.7,876.1,884.85,881.55,885.8,"46,82,771","4,14,80,09,845.35","84,339","4,13,304",8.83
MAZDOCK,EQ,25-Nov-22,881.55,884.85,892,836.3,853.25,852,857.7,"45,26,805","3,88,26,48,494.70","97,117","4,63,238",10.23
MAZDOCK,EQ,28-Nov-22,852,854,901.8,852.75,878.1,881.75,884.2,"68,87,688","6,09,00,99,470.10","1,33,703","5,92,475",8.6
MAZDOCK,EQ,29-Nov-22,881.75,886,895,866.85,875,877.8,882.63,"38,37,592","3,38,71,87,470.70","77,400","3,04,979",7.95
MAZDOCK,EQ,30-Nov-22,877.8,882.2,924.1,874.9,905.4,908.75,906.65,"97,56,026","8,84,52,71,620.95","1,69,961","10,54,511",10.81
MAZDOCK,EQ,01-Dec-22,908.75,915.6,932.7,907,909.85,911.9,921.16,"52,25,258","4,81,33,14,074.65","1,00,011","5,35,820",10.25
MAZDOCK,EQ,02-Dec-22,911.9,915.25,920,902.15,914.5,914,912.4,"30,85,890","2,81,55,68,333.45","60,532","3,06,721",9.94
MAZDOCK,EQ,05-Dec-22,914,918.6,936.4,904.5,907.9,911.85,920.68,"34,82,846","3,20,65,88,300.80","60,820","5,24,097",15.05
MAZDOCK,EQ,06-Dec-22,911.85,907.7,916.4,877.6,890,889.45,893.83,"30,56,870","2,73,23,10,538.50","62,978","4,42,564",14.48
MAZDOCK,EQ,07-Dec-22,889.45,890,895.45,863.6,868.75,869.65,876.86,"25,31,690","2,21,99,43,973.45","54,778","3,81,012",15.05
MAZDOCK,EQ,08-Dec-22,869.65,873,917.35,857.2,906.15,906.3,893.36,"60,02,073","5,36,20,07,018.35","1,04,452","5,34,434",8.9
MAZDOCK,EQ,09-Dec-22,906.3,911.25,918,875,881.95,882.55,900.04,"38,85,745","3,49,73,41,293.80","78,749","4,73,767",12.19
MAZDOCK,EQ,12-Dec-22,882.55,879.05,901.5,866.55,881.9,883.2,885.22,"28,06,261","2,48,41,44,351.50","63,439","2,90,258",10.34
MAZDOCK,EQ,13-Dec-22,883.2,887.5,905.65,883.2,884.45,887.35,895.54,"23,86,410","2,13,71,32,259.65","46,756","2,61,514",10.96
MAZDOCK,EQ,14-Dec-22,887.35,891.8,896.7,874.05,877,879.25,886.19,"12,27,386","1,08,76,93,352.40","26,033","1,90,176",15.49
MAZDOCK,EQ,15-Dec-22,879.25,879.9,884.3,860,863.55,863.85,867.96,"13,95,931","1,21,16,17,667.50","31,511","3,04,898",21.84
MAZDOCK,EQ,16-Dec-22,863.85,859.8,868.95,825.25,835,832.4,847.92,"19,20,904","1,62,87,72,548.25","48,140","3,26,727",17.01
MAZDOCK,EQ,19-Dec-22,832.4,837,857.95,815.65,841.5,841.6,837.36,"26,73,103","2,23,83,50,809.70","60,481","3,06,795",11.48
MAZDOCK,EQ,20-Dec-22,841.6,841.6,884.4,826.4,878.8,878.7,860.35,"45,67,648","3,92,97,55,625.15","96,094","4,17,822",9.15
MAZDOCK,EQ,21-Dec-22,878.7,885,893.8,835.5,839.45,843.4,865.02,"30,89,437","2,67,24,22,953.85","66,328","4,28,607",13.87
MAZDOCK,EQ,22-Dec-22,843.4,844,851.1,785,787,791.5,808.71,"33,57,025","2,71,48,70,949.85","77,804","4,95,657",14.76
MAZDOCK,EQ,23-Dec-22,791.5,788.85,788.85,691,702,700.35,736.05,"49,76,857","3,66,32,25,957.80","1,08,270","6,78,465",13.63
MAZDOCK,EQ,26-Dec-22,700.35,705,819,704,811.5,804.15,766.34,"93,72,974","7,18,29,30,807.40","1,86,935","6,94,106",7.41
MAZDOCK,EQ,27-Dec-22,804.15,823,840.95,805,818.4,821.75,824.87,"76,81,798","6,33,65,15,689.55","1,37,353","5,85,059",7.62
MAZDOCK,EQ,28-Dec-22,821.75,818.4,818.45,785.5,801,799.65,800.03,"39,40,541","3,15,25,67,611.15","74,508","3,36,178",8.53
MAZDOCK,EQ,29-Dec-22,799.65,790,796.6,777,784.5,789.2,787.4,"27,67,828","2,17,93,96,280.45","52,344","2,77,342",10.02
MAZDOCK,EQ,30-Dec-22,789.2,795.5,822.75,785.75,792,793.15,808.88,"33,74,640","2,72,96,84,658.80","62,040","3,92,392",11.63
MAZDOCK,EQ,02-Jan-23,793.15,798,801.1,781.4,788.5,788.15,791.39,"16,69,794","1,32,14,66,154.30","39,006","2,01,420",12.06
MAZDOCK,EQ,03-Jan-23,788.15,791.05,844.25,790,831.9,834.15,825.86,"90,16,819","7,44,66,29,455.65","1,55,801","7,94,823",8.81
