Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
MOTILALOFS,EQ,26-Sep-22,751.4,749.4,749.4,725.1,746.95,741.9,740.86,"50,868","3,76,86,252.15","3,768","30,345",59.65
MOTILALOFS,EQ,27-Sep-22,741.9,743.05,743.05,729,741,739.85,735.75,"24,647","1,81,33,929.45","2,466","12,997",52.73
MOTILALOFS,EQ,28-Sep-22,739.85,731,736,725.8,736,732.95,730.69,"27,900","2,03,86,168.30","2,540","16,005",57.37
MOTILALOFS,EQ,29-Sep-22,732.95,736.65,743,720,725.25,723.5,728.73,"31,400","2,28,82,168.75","2,458","17,298",55.09
MOTILALOFS,EQ,30-Sep-22,723.5,722,731,721.05,722,726,725.65,"27,992","2,03,12,514.85","2,311","15,157",54.15
MOTILALOFS,BL,03-Oct-22,905.7,726,726,726,726,726,726,"2,79,236","20,27,25,336.00",1,-,-
MOTILALOFS,EQ,03-Oct-22,726,715,748.7,715,735.45,733.65,724.19,"41,065","2,97,38,939.00","3,501","18,830",45.85
MOTILALOFS,EQ,04-Oct-22,733.65,748,748.25,726,729,728,733.02,"40,865","2,99,54,851.25","2,961","27,193",66.54
MOTILALOFS,EQ,06-Oct-22,728,731.65,739.9,729.95,731,730.7,733.51,"33,601","2,46,46,598.90","2,586","14,100",41.96
MOTILALOFS,EQ,07-Oct-22,730.7,734.4,738.85,710,714,713.4,719.5,"75,822","5,45,53,719.20","4,876","42,202",55.66
MOTILALOFS,EQ,10-Oct-22,713.4,711,715.95,702,702,702.65,704.64,"63,925","4,50,44,261.40","3,462","33,781",52.84
MOTILALOFS,EQ,11-Oct-22,702.65,703,707.3,695,697,697.8,703.1,"7,05,060","49,57,28,947.70","5,815","6,59,234",93.5
MOTILALOFS,EQ,12-Oct-22,697.8,707.95,732.45,696.05,701,704.3,708.4,"2,44,402","17,31,35,216.85","12,324","99,703",40.79
MOTILALOFS,EQ,13-Oct-22,704.3,705,716.4,698.2,705.8,702.7,705.38,"51,879","3,65,94,419.30","3,301","24,926",48.05
MOTILALOFS,EQ,14-Oct-22,702.7,714.5,720.2,702.7,708,706.2,711.25,"72,525","5,15,83,077.45","4,006","34,267",47.25
MOTILALOFS,EQ,17-Oct-22,706.2,706.15,716.3,697.2,709.8,710.25,709.82,"46,356","3,29,04,526.95","3,794","23,230",50.11
MOTILALOFS,EQ,18-Oct-22,710.25,712,714.35,696.25,702,702,702.57,"88,982","6,25,15,877.45","6,263","43,172",48.52
MOTILALOFS,EQ,19-Oct-22,702,705,741.4,703.4,720,713.2,721.25,"1,85,349","13,36,82,468.10","11,089","84,494",45.59
MOTILALOFS,EQ,20-Oct-22,713.2,708.2,717.85,697,702,702.2,709.08,"99,937","7,08,63,443.00","4,890","64,386",64.43
MOTILALOFS,EQ,21-Oct-22,702.2,703,709.75,690.25,693,695.25,700.77,"2,16,066","15,14,12,011.60","9,170","62,382",28.87
MOTILALOFS,EQ,24-Oct-22,695.25,700,727.05,700,716.95,722.55,718.18,"72,349","5,19,59,940.70","2,646","40,596",56.11
MOTILALOFS,EQ,25-Oct-22,722.55,718.05,718.05,697.3,701,700.6,707.25,"1,09,256","7,72,71,224.10","5,686","76,158",69.71
MOTILALOFS,EQ,27-Oct-22,700.6,705,707.45,699,702,700.95,703,"78,087","5,48,94,896.30","2,906","60,317",77.24
MOTILALOFS,EQ,28-Oct-22,700.95,704.5,704.5,682.1,684.3,684.2,687.47,"1,70,216","11,70,18,462.05","6,701","1,38,969",81.64
MOTILALOFS,EQ,31-Oct-22,684.2,686,692.75,683.15,685,685.05,687.38,"76,000","5,22,41,080.75","3,497","59,102",77.77
MOTILALOFS,EQ,01-Nov-22,685.05,688.5,694,683.9,688,689.9,687.92,"67,152","4,61,94,886.70","3,551","43,258",64.42
MOTILALOFS,EQ,02-Nov-22,689.9,693.35,694.35,684,686,687.8,688.3,"63,206","4,35,04,671.20","4,476","41,615",65.84
MOTILALOFS,EQ,03-Nov-22,687.8,686,688.95,678.9,681.9,682,683.48,"48,857","3,33,92,834.25","3,030","33,844",69.27
MOTILALOFS,EQ,04-Nov-22,682,685.05,686.95,679.05,683.5,682.75,682.04,"53,845","3,67,24,444.70","3,735","34,813",64.65
MOTILALOFS,EQ,07-Nov-22,682.75,686.2,686.2,679.15,681,682.5,681.97,"54,209","3,69,68,718.45","2,925","29,200",53.87
MOTILALOFS,EQ,09-Nov-22,682.5,685.05,699,682.5,689.7,692.95,692.87,"96,917","6,71,51,058.55","4,704","61,998",63.97
MOTILALOFS,EQ,10-Nov-22,692.95,696.45,696.45,680.55,690,688.45,687.87,"86,607","5,95,74,129.15","5,463","57,243",66.1
MOTILALOFS,EQ,11-Nov-22,688.45,691.9,699.45,686.3,689.2,692.25,690.91,"67,964","4,69,56,719.70","4,120","36,366",53.51
MOTILALOFS,EQ,14-Nov-22,692.25,695.75,695.75,683.05,686.2,689.7,687.89,"53,869","3,70,55,734.00","4,123","25,046",46.49
MOTILALOFS,EQ,15-Nov-22,689.7,685.1,693.4,685.1,686.8,688.05,688.67,"88,072","6,06,52,536.10","3,568","71,998",81.75
MOTILALOFS,EQ,16-Nov-22,688.05,692,708.5,685.25,685.3,689,694.46,"1,30,928","9,09,24,323.10","7,198","75,505",57.67
MOTILALOFS,EQ,17-Nov-22,689,685.3,690,682,683,683.7,685.63,"72,800","4,99,14,018.20","2,322","56,195",77.19
MOTILALOFS,EQ,18-Nov-22,683.7,680.2,689.25,674.25,679.95,677.65,678.45,"82,182","5,57,56,045.95","7,453","53,553",65.16
MOTILALOFS,EQ,21-Nov-22,677.65,677.65,690.35,664.05,666,667.35,671.87,"1,14,751","7,70,97,694.15","5,555","74,947",65.31
MOTILALOFS,EQ,22-Nov-22,667.35,667.35,672.55,662.45,666.95,666.35,666.39,"54,799","3,65,17,646.20","2,604","36,568",66.73
MOTILALOFS,EQ,23-Nov-22,666.35,667.1,668.9,658.9,659.85,660.95,662.26,"83,306","5,51,69,993.95","4,065","55,696",66.86
MOTILALOFS,EQ,24-Nov-22,660.95,660.95,665.8,657.1,658.9,659.5,661.15,"65,417","4,32,50,160.35","2,893","45,480",69.52
MOTILALOFS,EQ,25-Nov-22,659.5,662.9,662.9,653,655,654.5,655.12,"1,25,643","8,23,11,296.90","6,448","78,038",62.11
MOTILALOFS,EQ,28-Nov-22,654.5,663.95,667.95,657,658,660.35,661.29,"3,58,935","23,73,60,350.05","9,556","2,45,356",68.36
MOTILALOFS,EQ,29-Nov-22,660.35,662.9,672.35,660.7,663.95,663.6,665.23,"2,87,940","19,15,47,594.20","7,350","1,96,003",68.07
MOTILALOFS,EQ,30-Nov-22,663.6,666.95,670.95,661,662,662.7,664.15,"1,37,776","9,15,04,320.35","5,870","92,965",67.48
MOTILALOFS,EQ,01-Dec-22,662.7,666,671.7,664.05,666.3,665.7,667.07,"1,19,173","7,94,96,869.20","5,791","74,281",62.33
MOTILALOFS,EQ,02-Dec-22,665.7,666,668,662.5,665.5,666.2,665.92,"83,331","5,54,92,167.55","4,447","61,532",73.84
MOTILALOFS,EQ,05-Dec-22,666.2,666,673.95,664,670,668.65,668.21,"1,57,304","10,51,11,864.65","5,375","99,892",63.5
MOTILALOFS,EQ,06-Dec-22,668.65,678,678,666,667.8,667.9,669.67,"1,09,688","7,34,54,480.15","6,341","63,440",57.84
MOTILALOFS,EQ,07-Dec-22,667.9,668.55,671.95,660,660.9,661.25,664.32,"93,397","6,20,45,747.65","5,182","57,303",61.35
MOTILALOFS,EQ,08-Dec-22,661.25,661.9,665,660.4,662.95,663.3,663.41,"60,130","3,98,90,903.20","5,041","38,539",64.09
MOTILALOFS,EQ,09-Dec-22,663.3,669.9,669.9,660.3,663.35,663.75,664.49,"79,254","5,26,63,156.80","4,357","51,375",64.82
MOTILALOFS,EQ,12-Dec-22,663.75,668,669,660.05,661.6,665.1,664.31,"61,770","4,10,34,483.50","4,821","39,187",63.44
MOTILALOFS,EQ,13-Dec-22,665.1,665.05,665.05,655.2,657,656.5,658.66,"1,19,703","7,88,43,450.65","9,909","80,216",67.01
MOTILALOFS,EQ,14-Dec-22,656.5,657.4,678.95,656.05,673.9,676.3,667.68,"4,27,148","28,51,97,450.55","9,891","3,59,278",84.11
MOTILALOFS,EQ,15-Dec-22,676.3,679,721.95,679,709,708.4,709.51,"8,64,466","61,33,50,728.25","27,495","2,54,782",29.47
MOTILALOFS,EQ,16-Dec-22,708.4,708.9,714.35,697.4,710.6,707.8,706.71,"4,51,581","31,91,36,112.75","12,033","3,40,860",75.48
MOTILALOFS,EQ,19-Dec-22,707.8,707.8,714,692.15,705,701.2,701.4,"1,32,664","9,30,50,909.85","11,620","77,711",58.58
MOTILALOFS,EQ,20-Dec-22,701.2,703.7,721,698,717,717.9,714.24,"3,83,048","27,35,86,487.20","16,990","2,02,730",52.93
MOTILALOFS,EQ,21-Dec-22,717.9,721,728.45,695.75,704,705.65,713.37,"1,29,177","9,21,50,617.75","6,576","57,912",44.83
MOTILALOFS,EQ,22-Dec-22,705.65,704,710.5,688.85,703.6,703.6,700,"1,42,878","10,00,15,193.15","7,178","78,335",54.83
MOTILALOFS,EQ,23-Dec-22,703.6,696.2,698.6,674.75,684,676.05,684.07,"1,19,623","8,18,30,540.75","5,839","72,337",60.47
MOTILALOFS,EQ,26-Dec-22,676.05,676.05,699.9,669.9,683,686.15,686.95,"81,988","5,63,21,686.00","6,587","29,237",35.66
MOTILALOFS,EQ,27-Dec-22,686.15,683.35,699.95,683.3,699.5,696.5,690.31,"38,872","2,68,33,606.40","2,412","19,088",49.1
MOTILALOFS,EQ,28-Dec-22,696.5,699.6,705.9,691,693.5,693.25,698.07,"54,637","3,81,40,601.85","3,582","27,505",50.34
MOTILALOFS,EQ,29-Dec-22,693.25,693.25,697.6,684.55,694.05,691.15,689.27,"37,562","2,58,90,309.95","2,760","15,139",40.3
MOTILALOFS,EQ,30-Dec-22,691.15,690.65,695.9,684.9,687,686.35,688.76,"47,722","3,28,68,858.60","2,805","26,143",54.78
MOTILALOFS,EQ,02-Jan-23,686.35,689.8,700,685.9,695.55,694.75,695.03,"30,584","2,12,56,947.10","2,652","13,871",45.35
MOTILALOFS,EQ,03-Jan-23,694.75,694.75,714.9,694.75,711.05,711.05,701.92,"3,96,749","27,84,84,411.85","4,398","3,49,034",87.97
MOTILALOFS,EQ,04-Jan-23,711.05,711.1,728.8,710,719,717.2,720.53,"1,94,935","14,04,55,830.30","11,601","99,053",50.81
MOTILALOFS,EQ,05-Jan-23,717.2,720.8,720.8,701.35,706.8,706.15,707.24,"1,83,006","12,94,29,591.20","4,749","1,48,247",81.01
MOTILALOFS,EQ,06-Jan-23,706.15,701.2,710.35,700.25,702,702.4,704.22,"38,088","2,68,22,330.25","2,771","17,143",45.01
MOTILALOFS,EQ,09-Jan-23,702.4,704,715.8,704,713,713.65,711.94,"1,16,983","8,32,85,455.25","3,795","88,561",75.7
MOTILALOFS,EQ,10-Jan-23,713.65,718,718.5,703.95,710,709.75,712.84,"59,058","4,20,98,953.85","3,875","36,100",61.13
MOTILALOFS,EQ,11-Jan-23,709.75,710.2,717.4,700.55,717,711.65,712.52,"63,894","4,55,26,041.95","5,176","38,273",59.9
MOTILALOFS,EQ,12-Jan-23,711.65,710.2,719.8,704.9,719.8,714,711.89,"43,355","3,08,63,828.15","2,714","23,057",53.18
MOTILALOFS,EQ,13-Jan-23,714,716,750,713.05,743,742.75,740.6,"4,67,156","34,59,75,635.60","14,812","2,51,805",53.9
MOTILALOFS,EQ,16-Jan-23,742.75,746.95,748.4,732,732.4,736.45,739.48,"1,00,318","7,41,83,020.70","6,475","50,138",49.98
MOTILALOFS,EQ,17-Jan-23,736.45,737.95,750,734.5,747.8,744.85,745.19,"1,29,350","9,63,89,864.05","6,948","89,139",68.91
MOTILALOFS,EQ,18-Jan-23,744.85,745,750,731.55,738,737.6,742.33,"68,697","5,09,95,511.45","9,085","35,120",51.12
MOTILALOFS,EQ,19-Jan-23,737.6,737,752,734.05,736,738.75,741.96,"57,215","4,24,51,244.60","4,630","27,129",47.42
MOTILALOFS,EQ,20-Jan-23,738.75,741,743.95,716.7,723,723.2,729.83,"64,116","4,67,93,880.10","4,121","36,969",57.66
MOTILALOFS,EQ,23-Jan-23,723.2,723.2,732,707.7,728,725.65,720.07,"81,180","5,84,55,305.75","5,919","37,846",46.62
MOTILALOFS,EQ,24-Jan-23,725.65,725.65,738.9,715,732.05,725.35,726.06,"56,431","4,09,72,248.80","4,191","16,252",28.8
MOTILALOFS,EQ,25-Jan-23,725.35,705.05,708,683,690,692.45,697.02,"1,61,628","11,26,58,309.80","9,906","77,408",47.89
MOTILALOFS,EQ,27-Jan-23,692.45,686.2,695,676,678,681.1,684.37,"96,999","6,63,83,028.40","6,895","57,883",59.67
MOTILALOFS,EQ,30-Jan-23,681.1,681.1,692.5,665.1,673,671.4,672.03,"63,133","4,24,27,585.60","5,812","38,973",61.73
MOTILALOFS,EQ,31-Jan-23,671.4,674.3,684.65,664.05,684.65,681.4,678.22,"49,489","3,35,64,204.25","4,321","32,619",65.91
MOTILALOFS,EQ,01-Feb-23,681.4,690,700.45,665,668.3,668.9,680.77,"99,867","6,79,86,796.80","6,326","56,755",56.83
MOTILALOFS,EQ,02-Feb-23,668.9,669.4,697,661,693,692.95,683.77,"70,614","4,82,84,076.45","6,363","33,825",47.9
MOTILALOFS,EQ,03-Feb-23,692.95,690.65,703,675.4,695.8,697.45,686.91,"39,622","2,72,16,804.25","3,195","22,152",55.91
MOTILALOFS,EQ,06-Feb-23,697.45,699.7,699.7,681.5,684,688.9,690.66,"45,742","3,15,92,330.00","3,411","23,425",51.21
MOTILALOFS,EQ,07-Feb-23,688.9,690.15,690.15,677.85,687,687.5,683.97,"41,047","2,80,74,736.85","3,252","20,557",50.08
MOTILALOFS,EQ,08-Feb-23,687.5,685.05,699.25,682.7,697,697,695.44,"34,717","2,41,43,693.50","2,109","19,650",56.6
MOTILALOFS,EQ,09-Feb-23,697,695.25,697.45,672.35,677,677.75,682.11,"52,590","3,58,71,946.30","3,034","31,327",59.57
MOTILALOFS,EQ,10-Feb-23,677.75,677.75,689,677.45,683.5,683.6,683.57,"36,359","2,48,53,775.60","2,609","20,299",55.83
MOTILALOFS,EQ,13-Feb-23,683.6,682.9,684.95,661.15,662,662.1,665.99,"1,25,953","8,38,83,139.45","8,481","80,323",63.77
MOTILALOFS,EQ,14-Feb-23,662.1,665.45,665.45,645,647,650.6,653.57,"80,922","5,28,88,138.05","5,615","51,289",63.38
MOTILALOFS,EQ,15-Feb-23,650.6,648.95,662,647.05,660,655.55,654.81,"65,478","4,28,75,546.20","3,517","43,435",66.34
MOTILALOFS,EQ,16-Feb-23,655.55,658.85,662,656.05,659.8,658.8,659.12,"24,169","1,59,30,206.20","2,678","13,718",56.76
MOTILALOFS,EQ,17-Feb-23,658.8,658,662.25,656,658,657.55,658.84,"20,527","1,35,23,919.05","1,970","10,466",50.99
MOTILALOFS,EQ,20-Feb-23,657.55,657.55,662,654,658,658.9,658.24,"49,224","3,24,01,413.85","5,143","29,279",59.48
MOTILALOFS,EQ,21-Feb-23,658.9,659.8,665.8,652,655.8,657.6,659.14,"1,03,995","6,85,46,829.55","12,363","39,860",38.33
MOTILALOFS,EQ,22-Feb-23,657.6,658,658.05,632.8,636.05,639.1,641.53,"99,141","6,36,01,875.20","9,140","55,728",56.21
MOTILALOFS,EQ,23-Feb-23,639.1,633.5,637.1,622,625.7,623.75,626.95,"83,653","5,24,46,441.95","6,659","46,100",55.11
MOTILALOFS,EQ,24-Feb-23,623.75,627,630.7,610.6,621,620.3,620.78,"82,161","5,10,04,115.80","7,748","38,702",47.11
MOTILALOFS,EQ,27-Feb-23,620.3,622,625.3,603.15,609.95,609.3,613.07,"66,619","4,08,42,085.90","4,732","43,265",64.94
MOTILALOFS,EQ,28-Feb-23,609.3,611,613.2,597.2,597.5,600.1,604.15,"95,928","5,79,54,659.75","7,905","69,953",72.92
MOTILALOFS,EQ,01-Mar-23,600.1,600,604.9,598.25,602,602.4,601.28,"98,777","5,93,92,737.50","5,840","62,898",63.68
MOTILALOFS,EQ,02-Mar-23,602.4,603.15,606.95,598.05,600.1,600.15,600.63,"81,527","4,89,67,712.05","5,061","56,801",69.67
MOTILALOFS,EQ,03-Mar-23,600.15,601.1,607.9,600.35,601.5,601.25,602.06,"73,708","4,43,76,793.10","4,360","53,398",72.45
MOTILALOFS,EQ,06-Mar-23,601.25,605,629.75,603.25,605.05,607.9,609.43,"1,10,987","6,76,38,970.00","5,582","62,102",55.95
MOTILALOFS,EQ,08-Mar-23,607.9,611.95,611.95,598,604,603.45,602.55,"1,60,221","9,65,40,715.55","10,438","1,15,389",72.02
MOTILALOFS,EQ,09-Mar-23,603.45,606.4,609.95,602.5,604,604.5,604.71,"75,018","4,53,64,153.35","8,660","53,860",71.8
MOTILALOFS,EQ,10-Mar-23,604.5,599,602,596.1,599.95,598.3,598.88,"89,920","5,38,51,031.30","5,168","57,279",63.7
MOTILALOFS,EQ,13-Mar-23,598.3,598.3,601.3,578.45,586.85,583.75,587.11,"93,131","5,46,78,390.35","8,027","52,919",56.82
MOTILALOFS,EQ,14-Mar-23,583.75,582,588.45,575,579,577.1,578.96,"74,862","4,33,41,960.85","6,980","45,252",60.45
MOTILALOFS,EQ,15-Mar-23,577.1,580.9,585,576.8,580.3,580,580.5,"56,350","3,27,10,969.05","2,928","40,018",71.02
MOTILALOFS,EQ,16-Mar-23,580,578.1,582.3,575,579,579.25,579,"48,099","2,78,49,200.70","4,957","30,676",63.78
MOTILALOFS,EQ,17-Mar-23,579.25,582.15,584,571.2,576.95,575.6,577.5,"62,681","3,61,98,525.15","4,364","36,663",58.49
MOTILALOFS,EQ,20-Mar-23,575.6,650.4,650.4,570.1,572.95,573.25,573.71,"2,41,460","13,85,29,054.25","17,174","1,91,910",79.48
MOTILALOFS,EQ,21-Mar-23,573.25,575.95,576.45,570.1,572.95,572.45,572.75,"54,533","3,12,33,990.15","5,658","36,258",66.49
MOTILALOFS,EQ,22-Mar-23,572.45,575.35,580.7,567.1,568,568.35,571.84,"91,327","5,22,24,836.25","3,774","61,280",67.1
MOTILALOFS,EQ,23-Mar-23,568.35,568,569.95,557,557.6,559.4,563.59,"86,282","4,86,27,769.55","5,449","42,954",49.78
MOTILALOFS,EQ,24-Mar-23,559.4,560,562.3,552.1,561,558.6,558.36,"1,62,016","9,04,63,704.70","5,342","1,20,252",74.22
MOTILALOFS,EQ,27-Mar-23,558.6,560.95,569.55,551.25,551.6,553.55,557.21,"3,30,224","18,40,03,824.70","6,738","2,78,684",84.39
MOTILALOFS,EQ,28-Mar-23,553.55,556.5,577,552.2,573,563.3,563.96,"3,03,975","17,14,29,338.25","11,307","1,77,903",58.53
MOTILALOFS,EQ,29-Mar-23,563.3,570,585.8,564.05,585,580.15,578.94,"1,84,402","10,67,57,475.95","6,702","1,24,695",67.62
MOTILALOFS,EQ,31-Mar-23,580.15,585.8,619.95,585,610,610.3,609.22,"2,13,580","13,01,16,543.45","10,011","1,09,722",51.37
MOTILALOFS,EQ,03-Apr-23,610.3,615,631,608.75,629.95,627.95,623.41,"75,364","4,69,82,838.55","4,626","34,156",45.32
MOTILALOFS,EQ,05-Apr-23,627.95,628,629.95,616.15,620,619,622.89,"48,438","3,01,71,588.80","3,684","26,439",54.58
MOTILALOFS,EQ,06-Apr-23,619,622.1,637,618.1,633,633.35,631.49,"67,105","4,23,76,220.65","6,660","35,078",52.27
MOTILALOFS,EQ,10-Apr-23,633.35,633.75,640.85,620.95,639.95,638.9,633.72,"64,387","4,08,03,066.35","6,729","31,128",48.35
MOTILALOFS,EQ,11-Apr-23,638.9,642.3,649.1,636.6,643,642.05,644.21,"46,004","2,96,36,179.00","4,907","25,303",55
MOTILALOFS,EQ,12-Apr-23,642.05,643.9,645.4,636.1,638.8,639.3,640.43,"19,062","1,22,07,891.95","1,688","10,627",55.75
MOTILALOFS,EQ,13-Apr-23,639.3,633.55,648,629,635,634.3,634.72,"26,344","1,67,21,135.70","3,436","13,096",49.71
MOTILALOFS,EQ,17-Apr-23,634.3,630.25,637.6,619,619,622.3,626.98,"54,855","3,43,93,101.15","5,554","28,180",51.37
MOTILALOFS,EQ,18-Apr-23,622.3,622.3,623.55,605.05,612,613.25,613.9,"1,01,463","6,22,88,043.55","10,549","49,443",48.73
MOTILALOFS,EQ,19-Apr-23,613.25,616.45,623.8,611,613,612.35,616.47,"49,796","3,06,97,533.10","5,299","31,780",63.82
MOTILALOFS,EQ,20-Apr-23,612.35,615,617,598.95,602,600.35,604.8,"85,972","5,19,95,973.40","6,312","56,119",65.28
MOTILALOFS,EQ,21-Apr-23,600.35,600,610.55,600,610,608.7,606.64,"25,118","1,52,37,587.40","2,280","12,226",48.67
MOTILALOFS,EQ,24-Apr-23,608.7,614.55,614.55,593.55,602.5,603.5,601.61,"73,221","4,40,50,523.80","6,213","38,835",53.04
MOTILALOFS,EQ,25-Apr-23,603.5,608.35,610.45,600.25,607.95,607.35,605.49,"78,777","4,76,98,565.15","6,804","38,752",49.19
MOTILALOFS,EQ,26-Apr-23,607.35,607.95,609.3,604.3,606,607.15,607.6,"22,952","1,39,45,532.30","2,141","12,169",53.02
MOTILALOFS,EQ,27-Apr-23,607.15,610.3,632,605.3,629,626.85,623,"1,17,862","7,34,28,058.80","5,401","47,525",40.32
MOTILALOFS,EQ,28-Apr-23,626.85,610.25,624.9,598.05,618.4,618.55,612.27,"1,91,684","11,73,61,953.95","8,458","73,067",38.12
MOTILALOFS,EQ,02-May-23,618.55,618.9,627.8,607,608,608.35,613.7,"97,607","5,99,01,474.85","6,430","60,787",62.28
MOTILALOFS,EQ,03-May-23,608.35,607,610.15,605.05,607.1,608,608.48,"47,218","2,87,31,287.90","2,640","31,588",66.9
MOTILALOFS,EQ,04-May-23,608,608,616.45,605,609.4,609.4,610.37,"68,007","4,15,09,547.80","4,438","38,085",56
MOTILALOFS,EQ,05-May-23,609.4,606.45,609.5,600.05,604,601.4,604.56,"67,411","4,07,54,171.70","3,242","46,114",68.41
MOTILALOFS,EQ,08-May-23,601.4,602.1,612,582.7,584.5,584.55,589.95,"2,57,688","15,20,22,449.00","12,294","1,61,767",62.78
MOTILALOFS,EQ,09-May-23,584.55,588,617.5,584.3,599.8,599.75,603.55,"3,68,780","22,25,77,167.10","14,151","1,56,356",42.4
MOTILALOFS,EQ,10-May-23,599.75,607.55,635,601.95,633.7,633.55,622.13,"4,84,663","30,15,23,143.60","14,784","2,36,177",48.73
MOTILALOFS,EQ,11-May-23,633.55,640,663.8,630.5,659.1,660.25,647.48,"3,68,210","23,84,09,879.70","15,052","1,78,102",48.37
MOTILALOFS,EQ,12-May-23,660.25,660,668,647.1,649.1,651.45,657.75,"2,54,212","16,72,08,712.05","10,216","1,13,482",44.64
MOTILALOFS,EQ,15-May-23,651.45,640,644.9,624.65,628.55,628.3,633.15,"2,31,954","14,68,60,520.50","10,022","1,13,751",49.04
